E,col_stp_pow,rad_stp_pow,tot_stp_pow
0.01,51.24,0.0009702,51.24
0.0125,42.71,0.0009793,42.71
0.015,36.81,0.0009881,36.82
0.0175,32.49,0.0009964,32.49
0.02,29.16,0.001004,29.16
0.025,24.39,0.001019,24.39
0.03,21.1,0.001034,21.1
0.035,18.7,0.001048,18.7
0.04,16.87,0.001061,16.87
0.045,15.42,0.001075,15.42
0.05,14.24,0.001088,14.24
0.055,13.27,0.001101,13.27
0.06,12.45,0.001113,12.45
0.07,11.14,0.001138,11.14
0.08,10.15,0.001164,10.15
0.09,9.367,0.00119,9.368
0.1,8.737,0.001216,8.738
0.125,7.59,0.001285,7.591
0.15,6.818,0.001357,6.82
0.175,6.265,0.001433,6.267
0.2,5.851,0.001511,5.852
0.25,5.274,0.001677,5.276
0.3,4.897,0.001852,4.899
0.35,4.635,0.002037,4.637
0.4,4.445,0.002232,4.447
0.45,4.302,0.002436,4.305
0.5,4.193,0.002648,4.196
0.55,4.108,0.002869,4.111
0.6,4.041,0.003096,4.044
0.7,3.945,0.003573,3.949
0.8,3.883,0.004076,3.887
0.9,3.842,0.004603,3.846
1,3.815,0.005152,3.821
1.25,3.787,0.006614,3.794
1.5,3.788,0.00819,3.796
1.75,3.802,0.009862,3.812
2,3.823,0.01162,3.835
2.5,3.873,0.01534,3.888
3,3.924,0.01931,3.943
3.5,3.973,0.02348,3.997
4,4.02,0.02782,4.047
4.5,4.063,0.0323,4.095
5,4.103,0.03693,4.14
5.5,4.14,0.04166,4.182
6,4.175,0.0465,4.222
7,4.238,0.05647,4.295
8,4.295,0.06675,4.361
9,4.345,0.07731,4.422
10,4.39,0.08809,4.479
12.5,4.488,0.1159,4.604
15,4.569,0.1448,4.714
17.5,4.638,0.1744,4.812
20,4.698,0.2046,4.903
25,4.799,0.2667,5.065
30,4.881,0.3305,5.212
35,4.951,0.3955,5.347
40,5.01,0.4615,5.471
45,5.055,0.5283,5.583
50,5.09,0.5959,5.686
55,5.119,0.664,5.783
60,5.144,0.7326,5.876
70,5.183,0.8713,6.054
80,5.213,1.011,6.224
90,5.238,1.153,6.39
100,5.259,1.295,6.554
125,5.301,1.654,6.955
150,5.333,2.017,7.35
175,5.359,2.383,7.742
200,5.381,2.752,8.133
250,5.417,3.496,8.913
300,5.446,4.246,9.692
350,5.47,5.001,10.47
400,5.491,5.76,11.25
450,5.509,6.522,12.03
500,5.525,7.286,12.81
550,5.54,8.053,13.59
600,5.553,8.821,14.37
700,5.577,10.36,15.94
800,5.597,11.91,17.51
900,5.616,13.46,19.08
1000,5.632,15.02,20.65
1.500E+03,5.694E+00,2.284E+01,2.853E+01
2.000E+03,5.737E+00,3.070E+01,3.644E+01
2.500E+03,5.771E+00,3.860E+01,4.437E+01
3.000E+03,5.799E+00,4.651E+01,5.231E+01
3.500E+03,5.823E+00,5.444E+01,6.026E+01
4.000E+03,5.843E+00,6.238E+01,6.823E+01
4.500E+03,5.861E+00,7.033E+01,7.620E+01
5.000E+03,5.877E+00,7.829E+01,8.417E+01
6.000E+03,5.905E+00,9.422E+01,1.001E+02
7.000E+03,5.928E+00,1.102E+02,1.161E+02
8.000E+03,5.949E+00,1.261E+02,1.321E+02
9.000E+03,5.967E+00,1.421E+02,1.480E+02
1.000E+04,5.983E+00,1.580E+02,1.640E+02
